LOJA;ITEM ;Rede;STATUS 
34 - BAHAMAS MIX MURIAE.;ECONOMICO 100L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;ECONOMICO 100L ;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;ECONOMICO 15L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;ECONOMICO 30L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;ECONOMICO 50L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;HIPERROLL 100L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;HIPERROLL 15L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;HIPERROLL 30L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;HIPERROLL 50L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;REFORCADO 100L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;REFORCADO 200L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;SACOLA 29X39;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;SACOLA 29X39 ;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;SACOLA 38X48;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;SACOLA 38X48 ;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BOBINA 20X30;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BOBINA 25X35;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BOBINA 30X40;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;ECONOMICO 100L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;ECONOMICO 100L ;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;ECONOMICO 15L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;ECONOMICO 30L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;ECONOMICO 50L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;HIPERROLL 100L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;HIPERROLL 15L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;HIPERROLL 30L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;HIPERROLL 50L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;REFORCADO 100L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;REFORCADO 200L;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;SACOLA 29X39;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;SACOLA 29X39 ;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;SACOLA 38X48;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;SACOLA 38X48 ;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
35 - BAHAMAS MIX LEOPOLDINA.;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
38 - SUPERMERCADO BAHAMAS UBERLANDIA GRANADA;BOBINA 20X30;BAHAMAS;ATIVO 
